Gene_acc,Gene_id,logFC,logCPM,log_PValue,Desc
1,Tb927.3.1520,-2.245067985,4.479610917,314.326004,variant surface glycoprotein (VSG)-related  putative
2,Tb927.7.1340,1.110624862,7.719461618,287.9522546,10 kDa heat shock protein  putative
3,Tb427VSG-1559,-2.021822584,4.335615681,276.2986681,none
4,Tb927.3.2960,-1.439626613,8.266622971,263.5016986,inosine-adenosine-guanosine-nucleosidehydrolase
5,Tb927.11.15910,-1.018584929,8.324042362,257.0066367,iron superoxide dismutase
6,Tb927.5.120,-1.335215495,6.027140018,245.4057153,expression site-associated gene 9 (ESAG9) protein  putative
7,Tb927.7.1320,1.262407862,8.388586451,244.1141929,10 kDa heat shock protein  putative
8,Tb927.4.2450,-1.140466941,7.736248286,240.1409361,protein disulfide isomerase 1
9,Tb427.BES40.10,0.995038556,9.903729416,232.2642962,none
10,Tb427.BES40.19-pseudo,1.443220477,6.771853045,225.9192502,none
11,Tb927.11.4700,1.012690179,7.542328884,214.7247097,prostaglandin f synthase
12,Tb927.7.4170,-1.150028438,7.416233996,207.2902164,Fatty acid elongase
13,KS17gene_7829a,-1.005338187,7.617958959,206.6914598,none
14,KS17gene_12a,1.067651517,6.259519195,206.0488041,none
15,KS17gene_13a,1.320662719,8.641500311,201.9973212,none
16,MSTRG.16,1.238879766,10.65098349,201.8960808,none
17,Tb427.BES40.13,0.86644566,9.779579968,195.1789431,none
18,Tb927.5.1210,-0.897194674,8.520315722,194.7642256,short-chain dehydrogenase  putative
19,Tb927.10.6510,-0.938181321,8.369171282,189.4174211,chaperonin HSP60  mitochondrial precursor
20,Tb427.BES40.7,0.913827978,10.17865831,186.0462981,none
21,TRY.20,0.986491924,7.846320983,182.6374487,none
22,Tb08.27P2.110,1.973485724,5.104293081,180.6642847,PAP2 superfamily  putative
23,Tb927.10.6400,-0.801948251,8.979046029,173.066495,chaperonin HSP60  mitochondrial precursor
24,Tb927.5.3350,-1.145658672,6.962052248,172.8668557,iron superoxide dismutase A  mitochondrial
25,Tb927.8.6720,-0.950320798,6.8574637,172.0923872,hypothetical protein  conserved
26,Tb927.10.12260,-0.963005894,6.797774679,162.300721,cytosolic nonspecific dipeptidase  putative
27,Tb927.10.10260,0.929985132,6.384808336,154.7469763,EP1 procyclin
28,Tb927.7.7530,0.774613272,8.152784253,152.4759642,receptor-type adenylate cyclase GRESAG 4  putative
29,Tb427.BES40.3,1.063682882,9.291535246,149.6023032,none
30,MSTRG.17,0.838763939,9.116006929,149.6121249,none
31,TRY.18,0.899142626,10.78496874,148.5478294,none
32,Tb927.9.7770,0.770943394,7.472537414,142.8963131,spermidine synthase
33,Tb427.BES40.4-pseudo,1.285195821,10.43670713,141.2907976,none
34,Tb427.BES40.5-pseudo,0.9520194,9.408927694,137.4813898,none
35,Tb427.BES129.7,0.792085378,7.4774436,132.7844239,none
36,TRY.21,0.805251812,6.865363428,132.7465951,none
